technique,mean_cer,median_cer,std_cer,pct_cer_gt_0.9,n
Baseline,0.6191,0.7396,0.3498,31.76,680
Fuzzy,0.6177,0.7369,0.3504,32.06,680
Grayscale,0.6218,0.7279,0.3546,34.56,680
Threshold,0.9025,1.0,0.2595,85.44,680
Denoise,0.6452,0.7656,0.3442,34.71,680
Sharpen,0.6484,0.7949,0.3473,36.32,680
Upscale,0.6764,0.8953,0.3679,49.56,680
Deskew,0.6086,0.7308,0.3541,31.18,680
Contrast Adaptive,0.6484,0.7989,0.3528,36.91,680
Upscale800,0.707,0.9144,0.3572,52.06,680
Tiled OCR,0.6194,0.7196,0.3295,27.94,680
Multi-Tier Fallback,0.6909,0.8839,0.3595,47.65,680
Deskew+Fuzzy,0.6078,0.7233,0.3538,31.03,680
