dataset,image_file,label_file,status,reference_text,ocr_text,ref_chars,ref_words,cer,wer,ocr_time_sec,error
original,A10.jpg,labelA10.txt,ok,"Water/Aqua/Eau, Glycerin, Dipropylene Glycol, Caprylic/Capric Triglyceride, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Cetearyl Alcohol, 1,2-Hexanediol, Cyclomethicone, Dimethicone, Vegetable Oil/Huile Végétale, Bifida Ferment Lysate, Cyclopentasiloxane, Dimethiconol, Glyceryl Stearate SE, Cetearyl Glucoside, Cetearyl Olivate, Sorbitan Olivate, C12-16 Alcohols, Ceramide NP, Amaranthus Caudatus Seed Extract, Ulmus Davidiana Root Extract, Microcrystalline Cellulose, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Glyceryl Stearate, PEG-100 Stearate, Hydrogenated Lecithin, Palmitic Acid, Coco-Caprylate/Caprate, Beta Vulgaris (Beet) Root Extract, Portulaca Oleracea Extract, Pueraria Thunbergiana Root Extract, Cnidium Officinale Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Paeonia Lactiflora Root Extract, Polysorbate 60, Caramel, Cellulose Gum, Sodium Hyaluronate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Hydrolyzed Corn Starch, Soluble Collagen, Pelargonium Graveolens Flower Oil, Propylene Glycol, Butylene Glycol, Aloe Barbadensis Leaf Juice, Disodium EDTA, Panthenol, Acacia Senegal Gum, Algae Extract, Artemisia Vulgaris Extract, Folic Acid, Salvia Officinalis (Sage) Oil, Acetic Acid, Pogostemon Cablin Oil, Cholesterol, Raffinose, Lactic Acid, Xanthan Gum, Tromethamine, Palmitoyl Pentapeptide-4","INGREDIENTS/INGRÉDIENTS Water/Aqua/Eau, Glycerin, Dipropylene Glycol, Caprylic/Capric Triglyceride, Hy- drogenated Poly(C6-14 Olefin), Hydro- genated Polydecene, Cetearyl Alcohol, 1,2-Hexanediol, Cyclomethicone, Dime- thicone, Vegetable Oil/Huile végétale, Bifida Ferment Lysate, Cyclopentasilox- ane, Dimethiconol, Glyceryl Stearate SE, Cetearyl Glucoside, Cetearyl Oliva- te, Sorbitan Olivate, C12-16 Alcohols, Ceramide NP, Amaranthus Caudatus Seed Extract, Ulmus Davidiana Root Extract, Microcrystalline Cellulose, Hydroxyethyl Acrylate/Sodium Acryloyl- dimethyl Taurate Copolymer, Squalane, Glyceryl Stearate, PEG-100 Stearate, Hydrogenated Lecithin, Palmitic Acid, Coco-Caprylate/Caprate, Beta Vulgaris (Beet) Root Extract, Portulaca Oleracea Extract, Pueraria Thunbergiana Root Extract, Cnidium Officinale Root Extract, Glycyrrhiza Glabra (Licorice) Root Extra- ct, Paeonia Lactiflora Root Extract, Po- lysorbate 60, Caramel, Cellulose Gum, Sodium Hyaluronate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Hydrolyz- ed Corn Starch, Soluble Collagen, Pela- rgonium Graveolens Flower Oil, Propyle- ne Glycol, Butylene Glycol, Aloe Barba- densis Leaf Juice, Disodium EDTA, Pan- thenol, Acacia Senegal Gum, Algae Ex- tract, Artemisia Vulgaris Extract, Folic Acid, Salvia Officinalis (Sage) Oil, Acetic Acid, Pogostemon Cablin Oil, Chole- sterol, Raffinose, Lactic Acid, Xanthan Gum, Tromethamine, Palmitoyl Penta- peptide-4",1372,148,0.0408,0.223,1.4873,
original,A12.jpg,labelA12.txt,ok,"Water, Dipropylene Glycol, Glycerin, Methyl Trimethicone, Alcohol Denat, Dimethicone, Cyclopentasiloxane, 1,2-Hexanediol, Malachite Extract, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Alchemilla Vulgaris Leaf Extract, Equisetum Arvense Leaf Extract, Stellaria Media (Chickweed) Extract, Urtica Dioica (Nettle) Leaf Extract, Plantago Lanceolata Leaf Extract, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, Nepeta Cataria Extract, Rubus Idaeus (Raspberry) Leaf Extract, Baptisia Tinctoria Root Extract, Dimethiconol, Polymethylsilsesquioxane, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Isohexadecane, Polysorbate 60, Ceramide 3, Cholesterol, Butyrospermum Parkii (Shea) Butter, Phenyl Trimethicone, Pentaerythrityl Tetraisostearate, Panthenol, Squalane, Triethylhexanoin, Macadamia Ternifolia Seed Oil, PEG-150, PEG-40 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arachidyl Glucoside, Hydrogenated Lecithin, PEG-100 Stearate, Stearic Acid, Glyceryl Stearate, Carbomer, Tromethamine, Trisodium EDTA, Fragrance, Citronellol, Limonene, Citral, Geraniol, Linalool","Ingredients: Water, Dipropylene Glycol, Glycerin, Methl Trimethicone, Alcohol Denat, Dimethicone, Cyclopentasiloxane, 1,2-Hexanediol, Malakite Extract, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraethylhexanoate, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Alchemilla Vulgaris Leaf Extract*, Equisetum Arvense Leaf Extract*, Stellaria Media (Chickweed) Extract*, Urtica Dioica (Nettle) Leaf Extract*, Plantago Lanceolata Leaf Extract*, Avena Sativa (Oat) Kernel Extract**, Calendula Officinalis Flower Extract** Nepeta Cataria Extract**, Rubus Idaeus (Raspberry) Leaf Extract**, Baptisia Tinctoria Root Extract**, Dimethiconol, Polymethylsilsesquioxane, Sodium Acrylate/ Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Isohexadecane Polysorbate 60, Ceramide 3, Cholesterol, Butyrospermum Parkii (Shea) Butter, Phenl Trimethicone, Pentaerythrityl Tetraisostearate, Panthenol, Squalane, Triethylhexanoin, Macadamia Ternifolia Seed Oil, PEG-150, PEG-40 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arachidyl Glucoside Hydrogenated Lecithin, PEG-100 Stearate, Stearic Acid, Glyceryl Stearate, Carbomer, Tromethamine, Trisodium EDTA, Fragrance+, Citronellol, Limonene, Citral, Geraniol, Linalool. www.thebeautyinsideout.com",1224,119,0.0523,0.1765,0.8648,
original,A14.jpg,labelA14.txt,ok,"Water, Squalane, Glycerin, Pentylene Glycol, Polyglyceryl-2 Stearate, Glyceryl Stearate, Stearyl Alcohol, Ceramide NG, Ceramide EOP, Ceramide NP, Ceramide AS, Ceramide AP, Carnosine, Hydrogenated Lecithin, Cholesterol, Caprylyl Glycol, Polyacrylate Crosspolymer-11, 1,2-Hexanediol","Ingredients: water, squalane, glycerin, pentylene glycol polyglyceryl-2 stearate, glyceryl stearate, stearyl alcohol, hyaluronic acid, ceramide EOP, ceramide NG ceramide NP, ceramide AS, ceramide AP, carnosine. hydrogenated lecithin, phytosterols, caprylyl glycol. polyacrylate crosspolymer-11, 1,2-hexanediol",280,30,0.1607,0.3,0.149,
original,A15.jpg,labelA15.txt,ok,"Centella Asiatica Extract (72%), Glycerin, Propanediol, Dipropylene Glycol, Cyclomethicone, Water, 1,2-Hexanediol, Trehalose, Caprylyl Methicone, C12-14 Pareth-12, Carbomer, Tromethamine, Ammonium Acryloyldimethyltaurate/VP Copolymer, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Xanthan Gum, Mentha Piperita (Peppermint) Leaf Extract, Zingiber Officinale (Ginger) Root Extract, Butylene Glycol, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Tranexamic Acid, Coptis Chinensis Root Extract, Theobroma Cacao (Cocoa) Extract, Dextrin, Leuconostoc/Radish Root Ferment Filtrate, Biosaccharide Gum-1, Disodium EDTA, Sodium Hyaluronate, Beta-Glucan, Ceramide EOP, Ceramide NS, Ceramide NP, Ceramide AP, Phytosphingosine, Hydrogenated Lecithin, Cetearyl Alcohol, Stearic Acid, Cholesterol","INGREDIENTS Centella Asiatica Extract(72%), Glycerin, Propanediol, Dipro- pylene Glycol, Cyclomethicone, Water,1,2-Hexanediol, Trehalose, Caprylyl Methicone, Cl2-14 Pareth-12, Carbomer, Tromethamine, Ammonium Ac- ryloyldimethyltaurate/VP Copolymer, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Xanthan Gum, Mentha Piperita (Peppermint) LeafExtract, Zingiber Officinale (Ginger) Root Extract, Butylene Glycol, Ethylhexylglyce- rin, Dipotassium Glycyrrhizate, Tranexamic Acid, Coptis Chinensis Root Ex- tract,Theobroma Cacao (Cocoa) Extract, Dextrin, Leuconostoc/Radish Root Ferment Filtrate, Biosaccharide Gum-1, Disodium EDTA, Sodium Hyaluro- nate, Beta-Glucan, Ceramide EOP, Ceramide NS, Ceramide NP, Ceramide AP, Phytosphingosine, Hydrogenated Lecithin, Cetearyl Alcohol, Stearic Acid,Cholesterol",784,81,0.0357,0.2469,0.3434,
original,A16.jpg,labelA16.txt,ok,"Aqua, Glycerin, Mineral Oil, Polyglyceryl-3 Methylglucose Distearate, Cetyl Palmitate, Niacinamide, Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Stearic Acid, Borago Officialis Seed Oil, Caprylyl Glycol, Carbomer, Cetyl Alcohol, Disodium EDTA, Lactic Acid, Panthenol, Pentylene Glycol, Phenoxyethanol, Potassium Carbonate, Potassium Hydroxide, Citric Acid, Bisabolol, Serine, Sodium Lactate, Sorbitol, Tocopheryl Acetate, Urea, Allantoin, Sodium Chloride","INGREDIENTS: AQUA, GLYCERIN, MINERAL OIL, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, CETYL PALMITATE, NIACINAMIDE, DIMETHICONE, ACRYLATES/C1O-3O ALKYL ACRYLATE CROSSPOLYMER, STEARIC ACID, BORAGO OFFICIALIS SEED OIL, CAPRYLYL GLYCOL, CARBOMER, CETYL ALCOHOL, DISODIUM EDTA, LACTIC ACID, PANTHENOL, PENTYLENE GLYCOL, PHENOXYETHANOL, POTASSIUM CARBONATE, POTASSIUM HYDROXIDE, CITRIC ACID, BISABOLOL, SERINE, SODIUM LACTATE, SORBITOL, TOCOPHERYL ACETATE, UREA, ALLANTOIN, SODIUM CHLORIDE.",468,51,0.0342,0.0588,0.3849,
original,A18.jpg,labelA18.txt,ok,"Aqua, Glycerin, Petrolatum, Dicaprylyl Ether, Dimethicone, Glyceryl Stearate, Cetyl Alcohol, Helianthus Annuus Seed Oil, PEG-30 Glyceryl Stearate, Panthenol, Niacinamide, Prunus Amygdalus Dulcis Oil, Tocopheryl Acetate, Isopropyl Palmitate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Propylene Glycol, BHT, Disodium EDTA, Benzoic Acid, Phenoxyethanol, Sodium Hydroxide, Citric Acid","NEREDIENTS: AQUA, BRER OIMETHICONE, GLYCERIN, PETROLATUM, DICAPRYES MANTHU ANNUUS SEED OIL GLYCERYL STEARATE, CETYL ALCOHOL WONMIDE, PEG-30 STEARATE, AT TESPHERYL ORLTES/C10-30 ACETATE, PANTOLACTONE, DIMETHICONOL ALKYL ACRYLATE CROSSPOOMER R065100",384,43,0.6302,0.8605,0.1357,
original,A19.jpg,labelA19.txt,ok,"Water/Aqua/Eau, Butylene Glycol, Glycerin, Squalane, Pentaerythrityl Tetraethylhexanoate, Arachidyl Alcohol, Dimethicone, Behenyl Alcohol, Butyrospermum Parkii (Shea) Butter, Cyclopentasiloxane, Arachidyl Glucoside, Cetyl Ethylhexanoate, Cyclohexasiloxane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Panax Ginseng Root Extract, Triethylhexanoin, Butylene Glycol Dicaprylate/Dicaprate, Polyacrylate-13, PEG-10 Dimethicone, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Cetyl PPG/PPG-10/1 Dimethicone, Polyisobutene, Disteardimonium Hectorite, Methoxy PEG-114/Polyepsilon Caprolactone, Fragrance/Parfum, Disodium EDTA, Sorbitan Isostearate, Ethylhexylglycerin, Honey/Mel/Miel, Polysorbate 60, Perilla Ocymoides Seed Extract, Dextrin, Hydrolyzed Ginseng Saponins (Enzyme-Treated Red Ginseng Saponins), Polysorbate 20, Lilium Candidum Bulb Extract, Rehmannia Glutinosa Root Extract, Polygonatum Officinale Rhizome/Root Extract, Nelumbo Nucifera Flower Extract, Glucose, Carthamus Tinctorius (Safflower) Flower Extract, Glycyrrhiza Uralensis (Licorice) Root Extract, 1,2-Hexanediol, Gardenia Florida Fruit Extract, Alpha-Isomethyl Ionone, Limonene, Hydrogenated Lecithin, Linalool, Panax Ginseng Flower Extract, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Hexyl Cinnamal, Sodium Polyaspartate, Phytosphingosine, Sodium Methyl Stearoyl Taurate, Tocopherol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate","(INGREDIENTS]WATER/AQUA/EAU.BUTYLENEGLYCOLGLYCERIN.SQUALANE,PENTAERYTHRITYLTETRAETHYLHEXANOATEARACHIDYLALCOHOLDIMETHICONE,BEHENYLALCDHOLBUTY ROSPERMUMPARKIN(SHEA) BUTTER,CYCLOPENTASILOXANE, ARACHIDYL GLUCOSIDE, CETYLETHYLHEXANOATE,CYCLOHEXASILOXANE HYDROXYETHYLACRYLATE/SODIUMACRYLOYLDIME THYL TAURATE COPOLYMER PHENOXYETHANOL PANAX GINSENG ROOT EXTRACT TRIETHYLHEXANOIN, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE, POLYACRYLATE-13. PEG-1O DIMETHICONE LAURYLPEG-9POLYDIMETHYLSILOXYETHYLDIMETHICONE CETYLPEG/PPG-1O/ DIMETHICONE,POLYISOBUTENE, DISTEARDIMONIUMHECTORITEMETHOXY PEG-114/POLYEPSILONCAPRO LACTONE FRAGRANCE/PARFUM, DISODIUM EDTASORBITANISOSTEARATE ETHYLHEXYLGLYCERIN, HONEY/MEL/MIEL POLYSORBATE SD. PERILLAOCYMOIDESSEED EXTRACTDEXTRINHYD ROLYZED GINSENGSAPONINS(ENZYME-TREATED RED GINSENGSAPONINS) POLYSORBATEZO.LILIUMCANDIDUM BULB EXTRACT. PAEONIAALBIFLORA ROOTEXTRACTREHMANNIA GLLITINOSA ROOT EXTRACT POLYGONATUM OFFICINALE RHIZOME/ROOT EXTRACT, NELUMBO NUCIFERA FLOWER EXTRACT, GLUCOSE. CARTHAMUS TINCTORIUS (SAFFLOWER)L FLOWER EITRACT GLYCYR RHIZA URALENSIS(LICORICEJROOT EXTRACT 1,2-HEXANEDIOL GARDENIA FLORIDA FRUIT EXTRACT ALPHA-ISOMETHYLIONONE LIMONENE HYDROGENATED LECITHIN LINALOOL PANAX GINSENG FLOWER EXTRACT HYOROXYISOHEXYL3-CYCLOHEXENECARBOXALDEHYDEHEXYL ONNAMALSODIUM POLYASPARTATE PHYTOSPHINGOSINESODIUM METHYLSTEARONLTAURATE TOCOPHEROLPENTAIRYTHRITYLTETRA-DI-T-BUTYLHYDROXYHYDROCINNAMATT",1449,133,0.1104,0.7444,0.8212,
original,A2.jpg,labelA2.txt,ok,"Aqua/Water, Glycerin, Cyclohexasiloxane, Squalane, Bis-PEG-18 Methyl Ether Dimethyl Silane, Sucrose Stearate, Stearyl Alcohol, PEG-8 Stearate, Myristyl Myristate","Squalane, 18T804",161,17,0.913,0.9412,0.0644,
original,A20.jpg,labelA20.txt,ok,"Aqua/Water, Glycerin, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cetyl Alcohol, Ceteth-20, Petrolatum, Potassium Phosphate, Ceramide NP, Ceramide AP, Carbomer, Behentrimonium Methosulfate, Sodium Lauroyl Lactylate, Sodium Hyaluronate, Cholesterol, Phenoxyethanol, Disodium EDTA, Dipotassium Phosphate, Tocopherol, Phytosphingosine, Xanthan Gum, Ethylhexylglycerin","2021500-INGREDIENTS/WOWWAN: AQUA/WATER, GLYCERIN, CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, CETYL ALCOHOL CETEARETH-20, PETROLATUM, POTASSIUM PHOSPHATE, CERAMIDE NP, CERAMIDE AP, CERAMIDE EOP, CARBOMER, DIMETHICONE, BEHENTRIMONIUM METHOSULFATE, SODIUM LAUROYL LACTYLATE SODIUM HYALURONATE, CHOLESTEROL, PHENOXYETHANOL, DISODIUM EDTA, DIPOTASSIUM PHOSPHATE, TOCOPHEROL, PHYTOSPHINGOSINE, XANTHAN GUM, ETHYLHEXYLGLYCERIN. (Code F.LL. D213768/2)",368,35,0.2283,0.3143,0.2021,
original,A21.jpg,labelA21.txt,ok,"Water, Glycerin, Isononyl Isononanoate, Isododecane, 1,2-Hexanediol, Pentylene Glycol, Polydecene, Betula Platyphylla Japonica Juice, Jojoba Esters, Panthenol, Glyceryl Glucoside, Acacia Senegal Gum, Hydrolyzed Hibiscus Esculentus Extract, Sodium Hyaluronate, Hyaluronic Acid, Lupinus Albus Seed Extract, Moringa Oleifera Seed Extract, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Aloe Barbadensis Flower Extract, Solanum Melongena (Eggplant) Fruit Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Ascorbic Acid, Pentaerythrityl Tetraethylhexanoate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyglyceryl-3 Methylglucose Distearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Glyceryl Acrylate/Acrylic Acid Copolymer, Ethylhexylglycerin, Agar, Dipotassium Glycyrrhizate, Glyceryl Caprylate, Butylene Glycol, Disodium EDTA","Ingredients | Water, Glycerin, Isononyl Isononanoate, Isododecane, 1,2-Hexanediol, Pentylene Glycol, Polydecene, Betula Platyphylla Japonica Juice, Jojoba Esters, Panthenol, Glyceryl Glucoside, Acacia Senegal Gum, Hydrolyzed Hibiscus Esculentus Extract, Sodium Hyaluronate, Hyaluronic Acid, Lupinus Albus Seed Extract, Moringa Oleifera Seed Extract, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Coccinia Indica Fruit Extract, Aloe Barbadensis Flower Extract, Solanum Melongena (Eggplant) Fruit Extract, Ocimum Sanctum Leaf Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Ascorbic Acid, Pentaerythrityl Tetraethyl hexanoate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyglyceryl-3 Methyl glucose Distearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Glyceryl Acrylate/Acrylic Acid Copolymer, Ethylhexylglycerin, Agar, Dipotassium Glycyrrhizate, Glyceryl Caprylate, Butylene Glycol, Disodium EDTA",954,99,0.0168,0.0606,0.3012,
