dataset,image_file,label_file,status,reference_text,ocr_text_raw,ocr_text_fuzzy,ref_chars,ref_words,cer_raw,wer_raw,cer_fuzzy,wer_fuzzy,ocr_time_sec,error
original,x1.jpg,labelx1.txt,ok,"Aqua, Niacinamide, Butylene Glycol, Citrus Sinensis Fruit Water, Glycerin, Phenoxyethanol, Dipotassium Glycyrrhizinate, Sodium Hyaluronate, Helianthus Annuus Virginiana Leaf Extract, Malva Domestica Fruit Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated Castor Oil, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Trihydroxystearin, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Caprylyl 2-Glyceryl Ascorbate, Cystoseira Tamariscifolia Extract, 1,2-Hexanediol, Ethylhexylglycerin, Aloe Barbadensis Leaf Juice, Potassium Sorbate, Ascorbic Acid, Aloe Tocopheryl Acetate, CI 77891, Sodium Benzoate, Caprylic/Capric Triglyceride, Haematococcus Pluvialis Extract, Portulaca Oleracea Extract, Rosmarinus Officinalis Leaf Extract","WUsen8'U: Aqua, Nacinamide, Butylene Giycol, Citrus Sinensis Frult Water, Glycerin, Phenaxyethanol, Dipotassium Glycymhizinate, Sodium Hyaluronate, Hamamelis Virginiana Leaf Water, Malus Domestica Fruit Extract, Acylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated Castor Oll, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Triethylene Glycol, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Maltodextrin, Caprytyl 2-Glyceryl Ascorbate, Cystoseira Tamariscifolia Extract. 1,2-Hexanediol, Arbutin, Ascorbic Acid, Aloe Barbadensis Leaf Juce, Potassium Sorbate, Linseed Oil Fatty Acid, Tocopheryl Acetate, C 17200, Cl 15985, Citric Acid, Sodium Benzoate, Caprylc/Capric Trigyceride, Haematococcus Pluvialis Extract, Ascorbyl Palmitate, Rosmarinus Officinalis Leaf Extract wanles: uion ns uasninsn dd","WUsen8'U, Aqua, Niacinamide, Butylene Giycol, Citrus Sinensis, Frult Water, Glycerin, Phenoxyethanol, Dipotassium Glycyrrhizinate, Sodium, Hyaluronate, Hamamelis Virginiana Water, Malus Domestica Fruit Extract, Acylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated, Castor Oll, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Triethylene, Glycol, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Maltodextrin, Caprytyl 2-Glyceryl Ascorbate, Cystoseira, Tamariscifolia Extract. 1,2-Hexanediol, Arbutin, Ascorbic Acid, Aloe, Barbadensis Leaf Juce, Potassium Sorbate, Linseed Oil Fatty Acid, Tocopheryl Acetate, CI 17200, Cl 15985, Citric Acid, Sodium Benzoate, Caprylic/Capric Triglyceride, Haematococcus Pluvialis Extract, Ascorbyl, Palmitate, Rosmarinus Officinalis Leaf Extract, wanles, uion ns uasninsn dd",783,81,0.2363,0.5062,0.2388,0.5185,15.8913,
original,x10.jpg,labelx10.txt,ok,"Water, Methylpropanediol, Triethanolamine, Glycerin, Polysorbate 60, Dimethicone, Niacinamide, Salicylic Acid, Sorbitan Sesquioleate, Tromethamine, Cetyl Ethylhexanoate, Bis-PEG-18 Methyl Ether Dimethyl Silane, Glyceryl Stearate, PEG-100 Stearate, Cyclopentasiloxane, Cyclohexasiloxane, Phenoxyethanol, Acrylates/Beheneth-25 Methacrylate Copolymer, Carbomer, Fragrance, Torreya Nucifera Extract, Hamamelis Virginiana Water, Melaleuca Alternifolia Extract, Chamomilla Recutita Extract, Lactobacillus/Soybean Ferment Extract, Salix Alba Bark Extract, Cinnamomum Zeylanicum Bark Extract, Origanum Vulgare Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Butylene Glycol, 1,2-Hexanediol, Propanediol, Caffeoyl SH-Octapeptide-4","INGREDIENTS/douus:nou: WATER. METHYLPROPANEDIOL TRIETHANOLAMINE, GLYCERIN, POLYSORBATE 60, DIMETHICONE NIACINAMIDE SALICYLIC ACID, SORBITAN SESQUIOLEATE, TROMETHAMINE, CETYL ETHYLHEXANOATE, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, GLYCERYL STEARATE, PEG-100 STEARATE CYCLOPENTASILOXANE, CYCLOHEXASILOXANE PHENOXYETHANOL, ACRYLATES/BEHENETH-25 METHACRYLATE COPOLYMER, CARBOMER, FRAGRANCE PROPANEDIOL, CAFFEOYL SH-OCTAPEPTIDE-4 00034608","nou, WATER. METHYLPROPANEDIOL TRIETHANOLAMINE, GLYCERIN, POLYSORBATE 60, DIMETHICONE NIACINAMIDE, SALICYLIC ACID, SORBITAN SESQUIOLEATE, TROMETHAMINE, CETYL ETHYLHEXANOATE, BIS-PEG-18 METHYL, ETHER DIMETHYL SILANE, GLYCERYL STEARATE, PEG-100 STEARATE CYCLOPENTASILOXANE, CYCLOHEXASILOXANE, PHENOXYETHANOL, ACRYLATES/BEHENETH-25 METHACRYLATE COPOLYMER, CARBOMER, FRAGRANCE, PROPANEDIOL, CAFFEOYL SH-OCTAPEPTIDE-4, 00034608",788,76,0.5317,0.6579,0.5063,0.6447,11.974,
original,x100.jpg,labelx100.txt,ok,"Ethylhexyl Palmitate, Isopropyl Myristate, Butyl PEG-20 Glyceryl Triisostearate, Synthetic Wax, Glyceryl Behenate/Eicosadioate, Charcoal Powder, Butylene Glycol, Butyrospermum Parkii Butter, Polyglyceryl-2 Isostearate, Phenoxyethanol, Beeswax, Fragrance, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Chlorphenesin, Butylated Hydroxytoluene, Tocopheryl Acetate, Water, Glycerin, Allantoin, Epigallocatechin Gallate, Salicylic Acid, Oryza Sativa Bran Oil, Brassica Campestris Seed Oil, Ceramide NP, Dipropylene Glycol, Tocopherol, Hydrogenated Lecithin, Bambusa Vulgaris Leaf Extract, Camellia Japonica Seed Oil, Saccharomyces/Iron Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Glyceryl Stearate, Oryza Sativa Germ Oil, Phoenix Dactylifera Seed Extract, Camellia Sinensis Leaf Extract, Leuconostoc/Radish Root Ferment Filtrate, Alpinia Zerumbet Leaf Extract, Oryza Sativa (Rice) Bran Extract, Citrus Junos Seed Oil, Camellia Sinensis Seed Oil, Tartaric Acid, Sodium Metabisulfite, Helianthus Annuus Seed Oil, Ceramide AP, Ceramide AS, Ceramide NS, Cholesterol, Limnanthes Alba Seed Oil, Macadamia Ternifolia Seed Oil, Oenothera Biennis Oil, Persea Gratissima Oil, Rosa Canina Fruit Oil, Simmondsia Chinensis Seed Oil, Ceramide EOP","REDUCES PORE APPEARANCE *GU EPIDERMIS PALMITATE. ISOPROPYL MYRISTATE, PEG-20 GLYCERYL TRIISOSTEARATE, PARKII BUTTER, POLYGLYCERYL-2 ISOSTEARATE, PHENOXYETHANOL, FRAGRANCE, LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE. ACETATE, WATER, GLYCERIN, ALLANTOIN.  EPIGALLOCATECHIN GALLATE, SALICYLIC ACID, ORYZA SATIVA BRAN OIL. BRASSICA CAMPESTRIS SEED OIL. CERAMIDE NP, DIPROPYLENE GLYCOL, TOCOPHEROL. HYDROGENATED LECITHIN, BAMBUSA VULGARIS LEAF EXTRACT, CAMELLIA JAPONICA SEED OIL, CAMELLIA SINENSIS LEAF SACCHAROMYCES/MAGNESIUM FERMENT, SACCHAROMYCES/ZINC FERMENT. GLYCERYL STEARATE, ORYZA DULCIS OIL, VITIS VINIFERA SEED CAMELLIA FILTRATE. ALPINIA ZERUMBET LEAF OIL. LCALOPHYLLUM HYLLUM SEED OIL SINENSIS SEED S SEED DEPRESSA HELIANTHUS CERAMIDE AP. CERAMIDE AS, CERAMIDE ALBA SEED ANNUUS OIL SEED OIL BUTYROSPERMUM MACADAMIA DENOTHERA BIENS OIL TERNIFOLIA SEED OIL. PERSEA ROSA CANINA OIL SIMMONDSIA CHINENSIS SEED OIL. CERAMIDE EOP","REDUCES PORE APPEARANCE, GU EPIDERMIS, PALMITATE, ISOPROPYL, MYRISTATE, PEG-240, GLYCERYL DIISOSTEARATE, PARKII BUTTER, POLYGLYCERYL-2, ISOSTEARATE, PHENOXYETHANOL, FRAGRANCE, LAURYL PEG-9, PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, ACETATE, WATER, GLYCERIN, ALLANTOIN, EPIGALLOCATECHIN GALLATE, SALICYLIC ACID, ORYZA SATIVA BRAN OIL, BRASSICA CAMPESTRIS SEED OIL, CERAMIDE NG, PROPYLENE GLYCOL, TOCOPHEROL. HYDROGENATED, LECITHIN, BAMBUSA VULGARIS, LEAF, EXTRACT, CAMELLIA JAPONICA SEED OIL, OIL, CAMELLIA SINENSIS LEAF OIL, SACCHAROMYCES/MAGNESIUM, FERMENT, SACCHAROMYCES/ZINC FERMENT, GLYCERYL STEARATE, ORYZA, DULCIS OIL, VITIS, VINIFERA SEED, CAMELLIA, FILTRATE, ALPINIA ZERUMBET LEAF OIL, LCALOPHYLLUM, HYLLUM, SEED OIL, SINENSIS, SEED, S SEED, DEPRESSA, HELIANTHUS, CERAMIDE AP. CERAMIDE AS, CERAMIDE, ALBA SEED, ANNUUS, OIL, SEED, OIL, BUTYROSPERMUM, MACADAMIA, DENOTHERA, BIENS, OIL, TERNIFOLIA SEED OIL, PERSEA, ROSA, CANINA, OIL, SIMMONDSIA CHINENSIS SEED OIL, CERAMIDE, EOP",1285,145,0.4179,0.5517,0.4195,0.6,27.9618,
original,x101.jpg,labelx101.txt,ok,"Water, Propylene Glycol, Butylene Glycol, Hydroxyphenoxy Propionic Acid, Tranexamic Acid, Saxifraga Sarmentosa Extract, Phenoxyethanol, Sodium Ascorbyl Phosphate, Glycerin, Vitis Vinifera (Grape) Fruit Extract, Chlorphenesin, Morus Bombycis Root Extract, Disodium EDTA, Sodium Hyaluronate, Scutellaria Baicalensis Root Extract, Tartaric Acid, Sodium Metabisulfite, Sodium Sulfite, Psidium Guajava Fruit Extract, Carica Papaya Fruit Extract","OuUs:nou/Ingredients: WATER, PROPYLENE GLYCOL, BUTYLENE GLYCOL HYDROXYPHENOXY PROPIONIC ACID, TRANEXAMIC ACID. SAXIFRAGA SARMENTOSA EXTRACT, PHENOXYETHANOL SODIUM ASCORBYL PHOSPHATE GLYCERIN, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, CHLORPHENESIN, MORUS BOMBYCIS ROOT EXTRACT, DISODIUM EDTA. SODIUM HYALURONATE. SCUTELLARIA BAICALENSIS ROOT EXTRACT, TARTARIC ACID. SODIUM METABISULFITE. FRUIT EXTRACT","OuUs, nou/Ingredients, WATER, PROPYLENE GLYCOL, BUTYLENE GLYCOL, HYDROXYPHENOXY PROPIONIC ACID, TRANEXAMIC ACID. SAXIFRAGA, SARMENTOSA EXTRACT, PHENOXYETHANOL SODIUM ASCORBYL PHOSPHATE, GLYCERIN, VITIS VINIFERA (GRAPE) FRUIT EXTRACT, CHLORPHENESIN, MORUS, BOMBYCIS ROOT EXTRACT, DISODIUM EDTA. SODIUM HYALURONATE. SCUTELLARIA, BAICALENSIS ROOT EXTRACT, TARTARIC ACID. SODIUM METABISULFITE, FRUIT EXTRACT",439,50,0.2073,0.34,0.2096,0.36,10.5481,
original,x102.jpg,labelx102.txt,ok,"Water, Niacinamide, Butylene Glycol, Ethoxydiglycol, Arginine, Allantoin, Aloe Barbadensis Leaf Juice Powder, Ascorbyl Glucoside, Glycolic Acid, Sodium Hyaluronate, Saxifraga Sarmentosa Extract, Phellodendron Amurense Bark Extract, Salix Alba (Willow) Bark Extract, Ramnemia Chinensis Root Extract, Melia Azadirachta Leaf Extract, Scutellaria Baicalensis Root Extract, Houttuynia Cordata Extract, Glycine Soja (Soybean) Seed Extract, Arisaema Amurense Extract, Decyl Glucoside, Camellia Japonica Flower Extract, Magnolia Kobus Branch/Flower Extract, Nelumbo Nucifera Flower Extract, Aureobasidium Pullulans Ferment, Saccharomyces Ferment, Centella Asiatica Extract, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chlorphenesin, Sodium Polyacrylate, Ethylhexylglycerin, Glyceryl Caprylate, Palmitoyl Tripeptide-1, PEG-60 Hydrogenated Castor Oil, Sodium Hydroxide, Sorbitan Laurate, Trideceth-6, Tri-PG-3 Myristyl Ether Citrate, O-Cymen-5-Ol, 1,2-Hexanediol, Xanthan Gum","ouuseu: Water, Niacinamide, Butyene G Ehaxydglycl Ainine, Allanin, Al Babde Leaf Juce Pode, Ascb Gluside, Glc Ad Sdum Huate,la/P u e Filtrate, Phellodendron Amurense Bark Extract, Salix Ala (Willow) Bark Edract, Rehmannia Cinensis Root Extract, Melia Azadirachta Leaf Extract, Scutellaria Baicalensis Root Extract, Houuynia Cordata Extract, Glycine Soja (Soybean) Seed Extrac, Arsaema Amurense Erat, Dec Gucide. Camelia Japonica Rower Edract, Magnolia Kobus Branch/Hower/leaf Edra, Nelumbo Nudiera Fowe Extract, Aureobasidium Pullulans Ferment, Saccharomyces Ferment, Centella Asiatica Extract, Phenoxethan, Acylates/C10-30 Alky Acrylate Crospolymer,Chlorphenasin, Sodum Palyaya Myristyl Ether Citrate, O-Cymen-5-Ol, 1.2-Hexanediol, Ethyl Hexanediol","ouuseu, Water, Niacinamide, Butyene G Ehaxydglycl Ainine, Allanin, Al Babde, Leaf Juce Pode, Ascb Gluside, Glc Ad Sdum Huate, la/P u e, Filtrate, Phellodendron Amurense Bark Extract, Salix Ala (Willow) Bark Edract, Rehmannia Cinensis, Root Extract, Melia Azadirachta Leaf Extract, Scutellaria Baicalensis Root Extract, Houuynia, Cordata Extract, Glycine Soja (Soybean) Seed Extrac, Arsaema Amurense Erat, Dec Gucide, Camelia Japonica Rower Edract, Magnolia Kobus Branch/Hower/leaf Edra, Nelumbo Nudiera Fowe, Extract, Aureobasidium Pullulans Ferment, Saccharomyces Ferment, Centella Asiatica Extract, Phenoxethan, Acylates/C10-30 Alky Acrylate Crospolymer, Chlorphenesin, Sodum Palyaya, Myristyl Ether Citrate, O-Cymen-5-Ol, 1.2-Hexanediol, Ethyl Hexanediol",983,105,0.3103,0.581,0.3072,0.581,12.1547,
original,x103.jpg,labelx103.txt,ok,"Water, C12-15 Alkyl Benzoate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Salicylate, Propanediol, Dimethicone, Ethylhexyl Triazone, Silica, Titanium Dioxide, Polyglyceryl-4 Laurate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butyloctyl Salicylate, 1,2-Hexanediol, Phenoxyethanol, Lecithin, Polyglyceryl-6 Laurate, Glycerin, Talc, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Diutan Gum, Niacinamide, Allantoin, Hydroxyacetophenone, Sodium Hydroxide, Ethylhexylglycerin, Cyclopentasiloxane, Zinc PCA, Butylene Glycol, Capsicum Annuum Fruit Extract, Caprylhydroxamic Acid, Hydrolyzed Corn Starch Octenylsuccinate, Sodium Lauroyl Lactylate, Biosaccharide Gum-4, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Isostearyl Isostearate, Xanthan Gum, Carbomer, Sodium Benzoate, Citric Acid, Green Tea Extract, Sodium Salicylate, Astaxanthin, Oryza Sativa Hull Extract, Butyrospermum Parkii (Shea Butter), Tocopherol, Ceramide EOP","NaRN/douwa: Wae, C2-15 AkyBenza, Diethylamino Hydroybenzo Hex Benzoae,Ehyhey Salcylate, Propaned, Dmeh,yraz,,anuD,PyycLaa,-EheMehTra,B 2-HedPec,-La,Ta,AC-0AA,D","NaRN/douwa, Wae, C2-15 AkyBenza, Diethylamino Hydroybenzo Hex Benzoae, Ehyhey Salcylate, Propaned, Dmeh, yraz, anuD, PyycLaa, EheMehTra, B, 2-HedPec, La, Ta, AC-0AA, D",949,95,0.8567,0.9895,0.8483,0.9895,6.81,
original,x104.jpg,labelx104.txt,ok,"Aqua, Propanediol, C15-19 Alkane, Cetyl Alcohol, Isononyl Isononanoate, Polyglyceryl-10 Dipalmitate, Avena Sativa Kernel Extract, Dipotassium Glycyrrhizate, Niacinamide, Polyglyceryl-4 Distearate, Squalane, Phenoxyethanol, Polyacrylate Crosspolymer-6, Xylitylglucoside, Glyceryl Acrylate/Acrylic Acid Copolymer, PEG-100 Stearate, Persea Gratissima Oil, Ethylhexylglycerin, Aloe Barbadensis Leaf Extract, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Xylitol, Fragrance, Tocopherol, Arginine, Propylene Glycol, 1,2-Hexanediol, Disodium EDTA, Butylene Glycol, Carrageenan, Sodium Hyaluronate, Sodium Lauroyl Glutamate, Cetearyl Alcohol, Ceramide NP, Hydrogenated Lecithin, Xanthan Gum, CI 19140, Benzyl Alcohol, Ceramide AP, Phytosphingosine, CI 42090, Cetearyl Glucoside, Helichrysum Stoechas Callus Culture Lysate, Citric Acid, Sodium Citrate, Sodium Benzoate, Ceramide EOS, Sodium Hyaluronate Crosspolymer, Benzoic Acid, Ginseng Gum, Potassium Sorbate, Sorbic Acid, Coumarin, Glycyrrhetinic Acid","nU: Agua, Propanediol, C15-19 Aliane, Cety Alcohol, sonony! Isononanoate, Polygyceryl-10 Dipalmitate, Avena Sativa Kemel Extract, Dipotassium Glycymhzonate, Nachamide, Poyglyceryl-6 Disteanate, Squalane, Phenoxyethanol, Polyacrylate Crosspolymer-6, Xyltyiglucoside, Glycery Monostearate, PEG-100 Steenate, Persea Gratissima Oil, Anhydrouyltol, Mars Saccharide somenate, Glucose, Dsodum EDTA, Butylane Gycol, T-butyl Aichol. L 2hesanediol, Centella Aslatica Leaf Edract, Hydrogenated Polydecene, Persea Gratssima Fruit Extract, Glycery( Stearate, C 19140, 1,2-Dlhydroxypentane, Cetearyl Alcohol, Ceramide NP, Hydrogenated Lecthin, Cholesterol, Stearic Acid, Benzyl Alcohol, Ceramide AP, Phytosphingosine, Cl 42090, Callus Culture Lysate, Citric Acid, Sodlum Citrate, Sodlum Benzoate, Tetraacetylphytosphingosine, C 14720, Xanthan Gum, Helichrysum Stoechas Dehydroacetic Add, Sodium Hyaluronate Crosspolymer, Benzaikc Acid, Acada Senegal Gum, Potasium Sorbate, Sorbic Adid, Ceramide EOP, Gycosphingolpics","nU, Agua, Propanediol, C15-19 Aliane, Cety Alcohol, sonony!, Isononanoate, Polygyceryl-10 Dipalmitate, Avena Sativa Kemel Extract, Dipotassium Glycymhzonate, Nachamide, Poyglyceryl-6 Disteanate, Squalane, Phenoxyethanol, Polyacrylate Crosspolymer-6, Xyltyiglucoside, Glycery, Monostearate, PEG-100 Steenate, Persea Gratissima Oil, Anhydrouyltol, Mars, Saccharide somenate, Glucose, Dsodum EDTA, Butylane Gycol, T-butyl Aichol, L 2hesanediol, Centella Asiatica Leaf Extract, Hydrogenated Polydecene, Persea, Gratssima Fruit Extract, Glycery( Stearate, C 19140, 1,2-Dlhydroxypentane, Cetearyl Alcohol, Ceramide NP, Hydrogenated Lecithin, Cholesterol, Stearic, Acid, Benzyl Alcohol, Ceramide AP, Phytosphingosine, Cl 42090, Callus Culture Lysate, Citric Acid, Sodium Citrate, Sodium Benzoate, Tetraacetylphytosphingosine, CI 14720, Xanthan Gum, Helichrysum Stoechas, Dehydroacetic Add, Sodium Hyaluronate Crosspolymer, Benzaikc Acid, Acada, Senegal Gum, Potassium Sorbate, Sorbic Acid, Ceramide EOP, Gycosphingolpics",997,105,0.4413,0.7048,0.4403,0.6571,15.9292,
original,x105.jpg,labelx105.txt,ok,"Water, Butylene Glycol, Glycerin, Dimethicone, PEG-240/HDI Copolymer Bis-Decyltetradeceth-20 Ether, Silica, Phenoxyethanol, Avena Sativa (Oat) Kernel Extract, Bisabolol, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Chlorphenesin, Potassium Hydroxide, Disodium EDTA, Betaine, Punica Granatum (Pomegranate) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Centella Asiatica Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Aloe Barbadensis Leaf Juice, Fragrance, Maltodextrin, Ethylhexylglycerin, Morus Alba Bark Extract, Cucumis Sativus (Cucumber) Seed Extract, Sodium Benzoate, Potassium Sorbate, Tocopherol","aouwau/ingredients: WATER, BUTYLENE GLYCOL, GLYCERIN, DIMETHICONE, PEG-24G/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER, SILICA, PHENOXYETHANOL, AVENA SATIVA (OAT) KERNEL EXTRACT. BISABOLOLXANTHAN GUM ACRYLATES/C 10-30 ALKYL ACRYLATE CROSSPOLYMER, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE CHLORPHENESIN, POTASSIUM HYDROXIDE, DISODIUM EDTA, BETAINE, PUNICA GRANATUM (POMEGRANATE) SEED OIL, VITIS VINIFERA (GRAPE) SEED OIL, CENTELLA ASIATICA EXTRACT, H IBISCUS SABDARIFFA FLOWER EXTRACT SODIUM HYALURONATE,ALOE BARBADENSIS LEAF JUICE, FRAGRANCE, MALTODEXTRIN, ETHYLHEXYLGLYCERIN MORUS ALBA BARK EXTRACT, CUCUMIS SATIVUS (CUCUMBER)SEED EXTRACT, SODIUM BENZOATE, POTASSIUM LAURATE,TOCOPHEROL, POTASSIUM SORBATE","WATER, BUTYLENE GLYCOL, GLYCERIN, DIMETHICONE, PEG-240/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER, ETHER, SILICA, PHENOXYETHANOL, AVENA SATIVA (OAT) KERNEL, EXTRACT. BISABOLOLXANTHAN GUM, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE, CHLORPHENESIN, POTASSIUM HYDROXIDE, DISODIUM EDTA, BETAINE, PUNICA GRANATUM (POMEGRANATE) SEED, OIL, VITIS VINIFERA (GRAPE) SEED OIL, CENTELLA ASIATICA ROOT EXTRACT, H IBISCUS SABDARIFFA FLOWER EXTRACT, SODIUM HYALURONATE, ALOE BARBADENSIS LEAF JUICE, FRAGRANCE, MALTODEXTRIN, ETHYLHEXYLGLYCERIN, MORUS ALBA BARK EXTRACT, CUCUMIS SATIVUS (CUCUMBER)SEED EXTRACT, SODIUM BENZOATE, POTASSIUM, LAURATE, TOCOPHEROL, POTASSIUM SOYATE",675,72,0.083,0.2639,0.0622,0.2222,17.3457,
original,x106.jpg,labelx106.txt,ok,"Aqua (Water), Dipropylene Glycol, Butylene Glycol, Propanediol, Phenoxyethanol, Chlorphenesin, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glycerin, Allantoin, Sodium Hydroxide, Disodium EDTA, Sodium Hyaluronate, Ectoin, Acacia Senegal Gum, Pentylene Glycol, Castanea Sativa (Chestnut) Leaf Extract, 1,2-Hexanediol, Centella Asiatica Leaf Extract, Algin, Caprylyl Glycol, Glyceryl Polyacrylate, Pullulan, Aphanothece Sacrum Polysaccharide, Ethylhexylglycerin, Centella Asiatica Leaf Vesicles","abuus:nou/ing •una oansá ents: Aqua (Water), Dipropylene Glycol, Butylene Glycol, Senegal Gum, Disodium EDTA, Sodium Hyaluronate, Ectoin, Acacia Pentylene Glycol, Castanea Sativa (Chestnut) Leaf Extract, Centella Asiatica Leaf Extract, Algin, Caprylyl Glycol, Glyceryl Aphanothece Sacrum Polysaccharides, Ethylhexyl-","abuus, nou/ing, •una oansá, ents, Aqua (Water), Dipropylene Glycol, Butylene Glycol, Senegal Gum, Disodium, EDTA, Sodium Hyaluronate, Ectoin, Acacia, Pentylene Glycol, Castanea Sativa (Chestnut) Leaf Extract, Centella Asiatica Leaf Extract, Algin, Caprylyl Glycol, Glyceryl, Aphanothece Sacrum Polysaccharides, Ethylhexyl",504,52,0.4782,0.5192,0.4663,0.5962,9.0897,
original,x107.jpg,labelx107.txt,ok,"Aqua, Butylene Glycol, Niacinamide, Sodium Acrylates Crosspolymer-2, Fomes Officinalis Extract, Sodium Acrylate/Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex Extract, Laminaria Japonica Extract, Maltodextrin, Glycerin, Ammonium Glycyrrhizate, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquaternium-51, Kaempferia Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprylyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic Acid, Glutathione, Hydrogenated Lecithin, CI 42090, Cyclodextrin, CI 19140, Ascorbyl Palmitate, Sh-Oligopeptide-1","mnnBu: Aqua, Butylene glycol, Niacinamide, Hamamelis Virginiana Leaf Water, Fomes Officinalis Extract, Sodium Acrylates Crosspolymer-2, Phenoxyethanol, Sodium Acrylate/Acryloyldimethyl Taurate Copolymer, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex Extract, Laminaria Japonica Extract, Maltodextrin, Glycerin, Ammonium Glycyrhizate, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia, Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquatemium-51, Kaempferia Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprytyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic Acid, Glutathione, Hydrogenated Lecithin, CI 42090, Cyclodextrin, Cl 19140, Ascorbyl Palmitate, Sh-Oligopeptide-1","mnnBu, Aqua, Butylene glycol, Niacinamide, Hamamelis Virginiana, Leaf Water, Fomes Officinalis Extract, Sodium Acrylates Copolymer, Phenoxyethanol, Sodium Acrylate/Acryloyldimethyl Taurate Copolymer, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex, Extract, Laminaria Japonica Extract, Maltodextrin, Glycerin, Ammonium Glycyrhizate, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia, Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquatemium-51, Kaempferia, Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprylyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic, Acid, Glutathione, Hydrogenated Lecithin, CI 42090, Cyclodextrin, Cl 19140, Ascorbyl Palmitate, Sh-Oligopeptide-1",943,99,0.1113,0.1515,0.1103,0.1717,18.4416,
