dataset,image_file,label_file,status,reference_text,ocr_text_raw,ocr_text_fuzzy,ref_chars,ref_words,cer_raw,wer_raw,cer_fuzzy,wer_fuzzy,ocr_time_sec,error
original,x1.jpg,labelx1.txt,ok,"Aqua, Niacinamide, Butylene Glycol, Citrus Sinensis Fruit Water, Glycerin, Phenoxyethanol, Dipotassium Glycyrrhizinate, Sodium Hyaluronate, Helianthus Annuus Virginiana Leaf Extract, Malva Domestica Fruit Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated Castor Oil, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Trihydroxystearin, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Caprylyl 2-Glyceryl Ascorbate, Cystoseira Tamariscifolia Extract, 1,2-Hexanediol, Ethylhexylglycerin, Aloe Barbadensis Leaf Juice, Potassium Sorbate, Ascorbic Acid, Aloe Tocopheryl Acetate, CI 77891, Sodium Benzoate, Caprylic/Capric Triglyceride, Haematococcus Pluvialis Extract, Portulaca Oleracea Extract, Rosmarinus Officinalis Leaf Extract","WUsenB'U: Aqua, Nacinamide, Butylene Giycol, Citrus Sinensis Frult Water, Glycerin, Phenaxyethanol, Dipotassium Glycymhizinate, Sodium Hyaluronate, Hamamelis Virginiana Leaf Water, Malus Domestica Fruit Extract, Acrylates/C10-30 Allkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated Castor Oll, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Triethylene Glycol, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Maltodextrin, Caprytyl 2-Glyceryl Ascorbate, Cystoseira Tamariscifola Extract. 1,2-Hexanediol, Arbutin, Ascorbic Acid, Aloe Barbadensis Leaf Juice, Potassium Sorbate, Linseed Olil Fatty Acid, Tocopieryl Acetate, C 17200, Cl 15985, Citric Acid, Sodium Benzoate, Capryic/Capric Triglyceride, Haematococcus Pluvialis Extract, Ascorbyl Palmitate, Rosmarinus Officinalis Leaf Extract","WUsenB'U, Aqua, Niacinamide, Butylene Giycol, Citrus Sinensis, Frult Water, Glycerin, Phenoxyethanol, Dipotassium Glycyrrhizinate, Sodium, Hyaluronate, Hamamelis Virginiana Water, Malus Domestica Fruit Extract, Acrylates/C10-30 Allkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated, Castor Oll, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Triethylene, Glycol, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Maltodextrin, Caprytyl 2-Glyceryl Ascorbate, Cystoseira, Tamariscifola Extract. 1,2-Hexanediol, Arbutin, Ascorbic Acid, Aloe, Barbadensis Leaf Juice, Potassium Sorbate, Linseed Olil Fatty Acid, Tocopieryl Acetate, CI 17200, Cl 15985, Citric Acid, Sodium Benzoate, Caprylic/Capric Triglyceride, Haematococcus Pluvialis Extract, Ascorbyl, Palmitate, Rosmarinus Officinalis Leaf Extract",783,81,0.2018,0.4444,0.2043,0.4568,41.0522,
original,x10.jpg,labelx10.txt,ok,"Water, Methylpropanediol, Triethanolamine, Glycerin, Polysorbate 60, Dimethicone, Niacinamide, Salicylic Acid, Sorbitan Sesquioleate, Tromethamine, Cetyl Ethylhexanoate, Bis-PEG-18 Methyl Ether Dimethyl Silane, Glyceryl Stearate, PEG-100 Stearate, Cyclopentasiloxane, Cyclohexasiloxane, Phenoxyethanol, Acrylates/Beheneth-25 Methacrylate Copolymer, Carbomer, Fragrance, Torreya Nucifera Extract, Hamamelis Virginiana Water, Melaleuca Alternifolia Extract, Chamomilla Recutita Extract, Lactobacillus/Soybean Ferment Extract, Salix Alba Bark Extract, Cinnamomum Zeylanicum Bark Extract, Origanum Vulgare Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Butylene Glycol, 1,2-Hexanediol, Propanediol, Caffeoyl SH-Octapeptide-4","INGREDIENTS/douus:nou: WATER. METHYLPROPANEDIOL TRIETHANOLAMINE, GLYCERIN. POLYSORBATE DIMETHICONE NIACINAMIDE SALICYLIC ACID, SORBITAN SESQUIOLEATE, TROMETHAMINE, CETYL ETHYLHEXANOATE. BIS-PEG-18 METHYL ETHER DIMETHYLSILANE, GLYCERYL STEARATE, PEG-100 STEARATE, CYCLOPENTAS SILOXANE PHENOXYETHANOL.ACRYLATES/BEHENETH-25 COPOLYMER. CARBOMER TORREYANUCIFERA EXTRACT. HAMAMELIS VIRGINIANA WATER RECUTIT EXTRACT CILLUS/SOYBEAN FERMENT EXTRACT BARK EXTRACT ZEYLANICUM BARK OR GANUM VULGARE LEAF EXTRACT CHAMAECYPARIS EXTRACT SCUTELLARIA BAICALENSIS EXTRACT. OLERACEA EXTRACT BUTYLENE PROPANEDIOL CAFFEOYL SH-OCTAPEPTIDE-4","nou, WATER, METHYLPROPANEDIOL, TRIETHANOLAMINE, GLYCERIN, POLYSORBATE, DIMETHICONE NIACINAMIDE, SALICYLIC ACID, SORBITAN SESQUIOLEATE, TROMETHAMINE, CETYL, ETHYLHEXANOATE, BIS-PEG-18, METHYL, ETHER, DIMETHYLSILANE, GLYCERYL STEARATE, PEG-10, STEARATE, CYCLOPENTAS, SILOXANE, PHENOXYETHANOL.ACRYLATES/BEHENETH-25, COPOLYMER, CARBOMER, TORREYANUCIFERA, EXTRACT, HAMAMELIS, VIRGINIANA WATER, RECUTIT, EXTRACT, CILLUS/SOYBEAN, FERMENT, EXTRACT, BARK, EXTRACT, ZEYLANICUM, BARK, OR, GANUM, VULGARE LEAF, EXTRACT, CHAMAECYPARIS, EXTRACT, SCUTELLARIA BAICALENSIS, EXTRACT, OLERACEA, EXTRACT, BUTYLENE, PROPANEDIOL, CAFFEOYL, SH-OCTAPEPTIDE-4",788,76,0.2855,0.6184,0.2551,0.6184,60.959,
original,x100.jpg,labelx100.txt,ok,"Ethylhexyl Palmitate, Isopropyl Myristate, Butyl PEG-20 Glyceryl Triisostearate, Synthetic Wax, Glyceryl Behenate/Eicosadioate, Charcoal Powder, Butylene Glycol, Butyrospermum Parkii Butter, Polyglyceryl-2 Isostearate, Phenoxyethanol, Beeswax, Fragrance, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Chlorphenesin, Butylated Hydroxytoluene, Tocopheryl Acetate, Water, Glycerin, Allantoin, Epigallocatechin Gallate, Salicylic Acid, Oryza Sativa Bran Oil, Brassica Campestris Seed Oil, Ceramide NP, Dipropylene Glycol, Tocopherol, Hydrogenated Lecithin, Bambusa Vulgaris Leaf Extract, Camellia Japonica Seed Oil, Saccharomyces/Iron Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Glyceryl Stearate, Oryza Sativa Germ Oil, Phoenix Dactylifera Seed Extract, Camellia Sinensis Leaf Extract, Leuconostoc/Radish Root Ferment Filtrate, Alpinia Zerumbet Leaf Extract, Oryza Sativa (Rice) Bran Extract, Citrus Junos Seed Oil, Camellia Sinensis Seed Oil, Tartaric Acid, Sodium Metabisulfite, Helianthus Annuus Seed Oil, Ceramide AP, Ceramide AS, Ceramide NS, Cholesterol, Limnanthes Alba Seed Oil, Macadamia Ternifolia Seed Oil, Oenothera Biennis Oil, Persea Gratissima Oil, Rosa Canina Fruit Oil, Simmondsia Chinensis Seed Oil, Ceramide EOP","REDUCES PORE APPEARANCE OACNNEADS ""GU EPIDERMIS DUUS:NDU/INGREDIENTS: ETHYLHEXYL PALMITATE. ISOPROPYL MYRISTATE, PEG-20 GLYCERYL TRISOSTEARATE, SYNTHETIC WAX, GLYCERYL BEHENATE/EICOSADIOATE. CHARCOAL POWDER, BUTYLENE GLYCOL, BUTYROSPERMUM ACETATE, WATER, GLYCERIN, ALLANTOIN, EPIGALLOCATECHIN GALLATE, SALICYLIC ACID, ORYZA SATIVA BRAN OIL. SEED OIL CAMELLIA SINENSIS OIL LIMNANTHES ALBA BIENNES OIL. PERSEA sele: Duidou áln","REDUCES PORE APPEARANCE, OACNNEADS, ""GU EPIDERMIS, DUUS, NDU/INGREDIENTS, ETHYLHEXYL ISOPALMITATE, ISOPROPYL MYRISTATE, PEG-20 GLYCERYL TRIISOSTEARATE, SYNTHETIC WAX, GLYCERYL BEHENATE/EICOSADIOATE, CHARCOAL POWDER, BUTYLENE GLYCOL, BUTYROSPERMUM, ACETATE, WATER, GLYCERIN, ALLANTOIN, EPIGALLOCATECHIN GALLATE, SALICYLIC ACID, ORYZA SATIVA BRAN OIL, SEED OIL CAMELLIA, SINENSIS, OIL, LIMNANTHES ALBA, BIENNES, OIL. PERSEA, sele, Duidou áln",1285,145,0.7759,0.8414,0.7681,0.8552,46.6501,
original,x101.jpg,labelx101.txt,ok,"Water, Propylene Glycol, Butylene Glycol, Hydroxyphenoxy Propionic Acid, Tranexamic Acid, Saxifraga Sarmentosa Extract, Phenoxyethanol, Sodium Ascorbyl Phosphate, Glycerin, Vitis Vinifera (Grape) Fruit Extract, Chlorphenesin, Morus Bombycis Root Extract, Disodium EDTA, Sodium Hyaluronate, Scutellaria Baicalensis Root Extract, Tartaric Acid, Sodium Metabisulfite, Sodium Sulfite, Psidium Guajava Fruit Extract, Carica Papaya Fruit Extract","BUTYLENE GLYCOL HYDROXYPHENOXY PROPIONIC ACID. TRANEXAMIC ACID. SAXIFRAGA BAICALENSIS ROOT EXTRACT, TARTARIC ACID. SODIUM METABISULFITE SODIUM SULFITE. PSIDIUM GUAJAVA FRUIT EXTRACT CARICAPAPAYA FRUIT EXTRACT","BUTYLENE, GLYCOL, HYDROXYPHENOXY, PROPIONIC, ACID, TRANEXAMIC ACID. SAXIFRAGA, BAICALENSIS ROOT, EXTRACT, TARTARIC ACID. SODIUM, METABISULFITE, SODIUM, SULFITE, PSIDIUM, GUAJAVA FRUIT, EXTRACT, CARICAPAPAYA, FRUIT, EXTRACT",439,50,0.5353,0.68,0.5421,0.78,50.4263,
original,x102.jpg,labelx102.txt,ok,"Water, Niacinamide, Butylene Glycol, Ethoxydiglycol, Arginine, Allantoin, Aloe Barbadensis Leaf Juice Powder, Ascorbyl Glucoside, Glycolic Acid, Sodium Hyaluronate, Saxifraga Sarmentosa Extract, Phellodendron Amurense Bark Extract, Salix Alba (Willow) Bark Extract, Ramnemia Chinensis Root Extract, Melia Azadirachta Leaf Extract, Scutellaria Baicalensis Root Extract, Houttuynia Cordata Extract, Glycine Soja (Soybean) Seed Extract, Arisaema Amurense Extract, Decyl Glucoside, Camellia Japonica Flower Extract, Magnolia Kobus Branch/Flower Extract, Nelumbo Nucifera Flower Extract, Aureobasidium Pullulans Ferment, Saccharomyces Ferment, Centella Asiatica Extract, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chlorphenesin, Sodium Polyacrylate, Ethylhexylglycerin, Glyceryl Caprylate, Palmitoyl Tripeptide-1, PEG-60 Hydrogenated Castor Oil, Sodium Hydroxide, Sorbitan Laurate, Trideceth-6, Tri-PG-3 Myristyl Ether Citrate, O-Cymen-5-Ol, 1,2-Hexanediol, Xanthan Gum",ME,ME,983,105,0.998,1.0,0.998,1.0,57.1268,
original,x103.jpg,labelx103.txt,ok,"Water, C12-15 Alkyl Benzoate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Salicylate, Propanediol, Dimethicone, Ethylhexyl Triazone, Silica, Titanium Dioxide, Polyglyceryl-4 Laurate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butyloctyl Salicylate, 1,2-Hexanediol, Phenoxyethanol, Lecithin, Polyglyceryl-6 Laurate, Glycerin, Talc, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Diutan Gum, Niacinamide, Allantoin, Hydroxyacetophenone, Sodium Hydroxide, Ethylhexylglycerin, Cyclopentasiloxane, Zinc PCA, Butylene Glycol, Capsicum Annuum Fruit Extract, Caprylhydroxamic Acid, Hydrolyzed Corn Starch Octenylsuccinate, Sodium Lauroyl Lactylate, Biosaccharide Gum-4, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Isostearyl Isostearate, Xanthan Gum, Carbomer, Sodium Benzoate, Citric Acid, Green Tea Extract, Sodium Salicylate, Astaxanthin, Oryza Sativa Hull Extract, Butyrospermum Parkii (Shea Butter), Tocopherol, Ceramide EOP",,,949,95,1.0,1.0,1.0,1.0,35.7408,
original,x104.jpg,labelx104.txt,ok,"Aqua, Propanediol, C15-19 Alkane, Cetyl Alcohol, Isononyl Isononanoate, Polyglyceryl-10 Dipalmitate, Avena Sativa Kernel Extract, Dipotassium Glycyrrhizate, Niacinamide, Polyglyceryl-4 Distearate, Squalane, Phenoxyethanol, Polyacrylate Crosspolymer-6, Xylitylglucoside, Glyceryl Acrylate/Acrylic Acid Copolymer, PEG-100 Stearate, Persea Gratissima Oil, Ethylhexylglycerin, Aloe Barbadensis Leaf Extract, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Xylitol, Fragrance, Tocopherol, Arginine, Propylene Glycol, 1,2-Hexanediol, Disodium EDTA, Butylene Glycol, Carrageenan, Sodium Hyaluronate, Sodium Lauroyl Glutamate, Cetearyl Alcohol, Ceramide NP, Hydrogenated Lecithin, Xanthan Gum, CI 19140, Benzyl Alcohol, Ceramide AP, Phytosphingosine, CI 42090, Cetearyl Glucoside, Helichrysum Stoechas Callus Culture Lysate, Citric Acid, Sodium Citrate, Sodium Benzoate, Ceramide EOS, Sodium Hyaluronate Crosspolymer, Benzoic Acid, Ginseng Gum, Potassium Sorbate, Sorbic Acid, Coumarin, Glycyrrhetinic Acid","Phenoxyethanol, Polyacrylate Crosspolymer-6, Xylitytglucoside, Glyceryl Monostearate, PEG-100 Steenate, Persea Gratissima Oil, Anhydroxyitol, Maris Aqua, Glycerin, Aice Barbedensis Leef Extract, Pentaerythrtyl Tetrais Xyltol, Ethythexylglycerin, Fragrance, Tocopheryl Acetate, Propylene Gycol, Saccharide isomerate, Glucose, Dsodium EDTA, Butylene Gycol, T-butyl Alcohol. 12-heanediol, Centella Aslatica Leaf Edract, Hydrogerated Polydecene, Persea Gratissima Fruit Extract, Glycery( Stearate, C 19140, 1,2-Oihydroxypentane, Cetearyl Alcohol, Ceramide NP, Hydrogenated Lecthin, Cholesterol, Stearic Acid, Benzyl Alcohol, Ceramide AP, Phytosphingosine, Cl 42090, Callus Culture Lysate, Citric Acid, Sodlum Citrate, Sodlum Benzoate, Tetraacetylphytosphingosine, Cl 14720, Xanthan Gum, Helichrysum Stoechas","Phenoxyethanol, Polyacrylate Crosspolymer-6, Xylitytglucoside, Glyceryl, Monostearate, PEG-100 Steenate, Persea Gratissima Oil, Anhydroxylitol, Maris, Aqua, Glycerin, Aice Barbedensis Leef Extract, Pentaerythrtyl Tetrais, Xyltol, Ethylhexylglycerin, Fragrance, Tocopheryl Acetate, Propylene Gycol, Saccharide isomerate, Glucose, Dsodium EDTA, Butylene Gycol, T-butyl Alcohol, 12-heanediol, Centella Asiatica Leaf Extract, Hydrogenated Polydecene, Persea, Gratissima Fruit Extract, Glycery( Stearate, C 19140, 1,2-Oihydroxypentane, Cetearyl Alcohol, Ceramide NP, Hydrogenated Lecithin, Cholesterol, Stearic, Acid, Benzyl Alcohol, Ceramide AP, Phytosphingosine, Cl 42090, Callus Culture Lysate, Citric Acid, Sodium Citrate, Sodium Benzoate, Tetraacetylphytosphingosine, Cl 14720, Xanthan Gum, Helichrysum Stoechas",997,105,0.6179,0.819,0.6169,0.7905,43.6179,
original,x105.jpg,labelx105.txt,ok,"Water, Butylene Glycol, Glycerin, Dimethicone, PEG-240/HDI Copolymer Bis-Decyltetradeceth-20 Ether, Silica, Phenoxyethanol, Avena Sativa (Oat) Kernel Extract, Bisabolol, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Chlorphenesin, Potassium Hydroxide, Disodium EDTA, Betaine, Punica Granatum (Pomegranate) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Centella Asiatica Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Aloe Barbadensis Leaf Juice, Fragrance, Maltodextrin, Ethylhexylglycerin, Morus Alba Bark Extract, Cucumis Sativus (Cucumber) Seed Extract, Sodium Benzoate, Potassium Sorbate, Tocopherol","aouwau Ingredients: WATER, BUTYLENE GLYCOL, GLYCERIN, DIMETHICONE PEG-240/HDI POLYMER BIS-DECYLTETRADECETH-20 ETHER, SILICA, PHENOXYETHANOL AVENA SATIVA KERNEL EXTRACT LXANTHAN GUM. ACRYLATES/C 10-30 ALKYL ACRYLATE CROSSPOLYMER PHYTOSTERYL/OC LDODECYL LAUROYL GLUTAMATE, CHLORPHENESIN, POTASSIUM EDTA BETAINE,PUNIC GRANATUM SEED VITIS VINIFERA GRAPE) SEED SABDARIFFA FLOWER EXTRACT, SODIUM HYALURONATE,ALOE BARBADENSIS LEAF JUICE, FRAGRANCE. ETHYLHEXYL LGLYCERIN, MORUS ALBA BARK EXTRACT SATIVUS (CUCUMBER)SEED EXTRACT. BENZOATE POTASSIUM LAURATE, TOCOPHEROL POTASSIUM SORBATE","aouwau, WATER, BUTYLENE, GLYCOL, GLYCERIN, DIMETHICONE, PEG-240/HDI, POLYMER, BIS-DECYLTETRADECETH-20, ETHER, SILICA, PHENOXYETHANOL, AVENA, SATIVA, KERNEL, EXTRACT, LXANTHAN, GUM, ACRYLATES/C 10-30 ALKYL, ACRYLATE, CROSSPOLYMER, PHYTOSTERYL/OC, LDODECYL, LAUROYL, GLUTAMATE, CHLORPHENESIN, POTASSIUM, EDTA, BETAINE, PUNIC, GRANATUM, SEED, VITIS, VINIFERA, GRAPE), SEED, SABDARIFFA, FLOWER, EXTRACT, SODIUM, HYALURONATE, ALOE, BARBADENSIS, LEAF, JUICE, FRAGRANCE, ETHYLHEXYL, LGLYCERIN, MORUS, ALBA, BARK EXTRACT, SATIVUS, (CUCUMBER)SEED, EXTRACT, BENZOATE, POTASSIUM, LAURATE, TOCOPHEROL, POTASSIUM, SORBATE",675,72,0.28,0.5833,0.2815,0.7639,70.1964,
original,x106.jpg,labelx106.txt,ok,"Aqua (Water), Dipropylene Glycol, Butylene Glycol, Propanediol, Phenoxyethanol, Chlorphenesin, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glycerin, Allantoin, Sodium Hydroxide, Disodium EDTA, Sodium Hyaluronate, Ectoin, Acacia Senegal Gum, Pentylene Glycol, Castanea Sativa (Chestnut) Leaf Extract, 1,2-Hexanediol, Centella Asiatica Leaf Extract, Algin, Caprylyl Glycol, Glyceryl Polyacrylate, Pullulan, Aphanothece Sacrum Polysaccharide, Ethylhexylglycerin, Centella Asiatica Leaf Vesicles","WISKUU DoUd Dluosa ooua PruusLe uaodoá Aqua (Water), Dipropylene Glycol, Butylene Glycol, Phenoxyethanol, Chlorphenesin, Panthenol, Acrylates/C10-30 Sodium Crosspolymer, Glycerin, Allantoin, Dipotassium Glycyrrhizate, Senegal Hydroxide, Disodium EDTA. Sodium Hya aluronate, Ectoin, Acacia Gum, Pentylene Glycol, Castanea Sativa (Chestnut) Leaf Extract, Polyacrylate, Centella Asiatica Leaf Extract, Algin, Caprylyl Glycol, Glyceryl glycerin, Pullulan, Aphanothece Sacrum Polysaccharides, Ethylhexyl- Centella 5778 Asiatica Leaf Vesicles","WISKUU, DoUd, Dluosa, ooua, PruusLe, uaodoá, Aqua, (Water), Dipropylene, Glycol, Butylene, Glycol, Phenoxyethanol, Chlorphenesin, Panthenol, Acrylates/C10-30, Sodium, Crosspolymer, Glycerin, Allantoin, Dipotassium, Glycyrrhizate, Senegal, Hydroxide, Disodium, EDTA, Sodium, Hya, aluronate, Ectoin, Acacia, Gum, Pentylene, Glycol, Castanea, Sativa, (Chestnut), Leaf, Extract, Polyacrylate, Centella, Asiatica, Leaf, Extract, Algin, Caprylyl, Glycol, Glyceryl, glycerin, Pullulan, Aphanothece, Sacrum, Polysaccharides, Ethylhexyl, Centella, 5778, Asiatica, Leaf, Vesicles",504,52,0.2877,0.4038,0.3433,0.8077,77.5764,
original,x107.jpg,labelx107.txt,ok,"Aqua, Butylene Glycol, Niacinamide, Sodium Acrylates Crosspolymer-2, Fomes Officinalis Extract, Sodium Acrylate/Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex Extract, Laminaria Japonica Extract, Maltodextrin, Glycerin, Ammonium Glycyrrhizate, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquaternium-51, Kaempferia Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprylyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic Acid, Glutathione, Hydrogenated Lecithin, CI 42090, Cyclodextrin, CI 19140, Ascorbyl Palmitate, Sh-Oligopeptide-1","u: Aqua, Butylene glycl, Niacinamide, Hamamelis Virginiana Leaf Water, Fomes Officinalis Extract, Sodium Acrylates Crosspolymer-2, Phenoxyethanol, Sodium Acrytate/Acryloyldimethyl Taurate Copolymer, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex Extract, Laminaria Japonica Extract, Maltodextrin, Glycerin, Ammonium Glycynhizate, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia, Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquatemium-51, Kaempferia Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprytyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic Acid, Glutathione, Hydrogenated Lecithin, CI 42090, Cyclodextrin, CI 19140, Ascorbyl Palmitate, Sh-Oligopeptide-1 2527","u, Aqua, Butylene glycl, Niacinamide, Hamamelis Virginiana, Leaf Water, Fomes Officinalis Extract, Sodium Acrylates Copolymer, Phenoxyethanol, Sodium Acrytate/Acryloyldimethyl Taurate Copolymer, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex, Extract, Laminaria Japonica Extract, Maltodextrin, Glycerin, Ammonium Glycynhizate, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia, Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquatemium-51, Kaempferia, Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprylyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic, Acid, Glutathione, Hydrogenated Lecithin, CI 42090, Cyclodextrin, CI 19140, Ascorbyl Palmitate, Sh-Oligopeptide-1, 2527",943,99,0.1135,0.1717,0.1135,0.202,51.4582,
