dataset,image_file,label_file,status,reference_text,ocr_text_raw,ocr_text_fuzzy,ref_chars,ref_words,cer_raw,wer_raw,cer_fuzzy,wer_fuzzy,ocr_time_sec,error
original,x1.jpg,labelx1.txt,ok,"Aqua, Niacinamide, Butylene Glycol, Citrus Sinensis Fruit Water, Glycerin, Phenoxyethanol, Dipotassium Glycyrrhizinate, Sodium Hyaluronate, Helianthus Annuus Virginiana Leaf Extract, Malva Domestica Fruit Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated Castor Oil, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Trihydroxystearin, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Caprylyl 2-Glyceryl Ascorbate, Cystoseira Tamariscifolia Extract, 1,2-Hexanediol, Ethylhexylglycerin, Aloe Barbadensis Leaf Juice, Potassium Sorbate, Ascorbic Acid, Aloe Tocopheryl Acetate, CI 77891, Sodium Benzoate, Caprylic/Capric Triglyceride, Haematococcus Pluvialis Extract, Portulaca Oleracea Extract, Rosmarinus Officinalis Leaf Extract","UsnB'U : Aqua, Nacinamide, Butylene Giycol, Citrus Sinensis Frult Water, Glycerin, Phencxyethanol, Dipotassium Glycymhizinate, Sodium Hyeluronate, Hamamels Vinginiana Leaf Wader, Malus Domestica Fruit Exdract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated Castor Oll, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Triethylene Glycol, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Maltodextrin, Caprytyl 2-Glyceryl Ascorbate, Cystoseira Tamariscifolla Extract. 1,2-Hexanediol, Arbutin, Ascorbic Acid, Aloe Barbadensis Leaf Juce, Potassium Sorbate, Linseed Oil Fatty Acid, Tocopheryl Acetate, C 17200, Cl 15985, Citric Acid, Sodium Benzoate, Capryic/Capric Trigtyceride, Haematococcus Pluvialis Extract, Ascorbyl Palmitate, Rosmarinus Officinalis Leaf Extract wnles: uin ns uaninsn dd","UsnB'U, Aqua, Niacinamide, Butylene Giycol, Citrus Sinensis, Frult Water, Glycerin, Phenoxyethanol, Dipotassium Glycyrrhizinate, Sodium, Hyeluronate, Hamamels Vinginiana Leaf Wader, Malus Domestica Fruit Exdract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, PEG-40 Hydrogenated, Castor Oll, Hibiscus Sabdariffa Flower Extract, Disodium EDTA, Triethylene, Glycol, Polysorbate 20, Fragrance, Lecithin, Propylene Glycol, Glutathione, Maltodextrin, Caprytyl 2-Glyceryl Ascorbate, Cystoseira, Tamariscifolla Extract. 1,2-Hexanediol, Arbutin, Ascorbic Acid, Aloe, Barbadensis Leaf Juce, Potassium Sorbate, Linseed Oil Fatty Acid, Tocopheryl Acetate, CI 17200, Cl 15985, Citric Acid, Sodium Benzoate, Caprylic/Capric Triglyceride, Haematococcus Pluvialis Extract, Ascorbyl, Palmitate, Rosmarinus Officinalis Leaf Extract, wnles, uin ns uaninsn dd",783,81,0.2363,0.5556,0.2337,0.5432,13.946,
original,x10.jpg,labelx10.txt,ok,"Water, Methylpropanediol, Triethanolamine, Glycerin, Polysorbate 60, Dimethicone, Niacinamide, Salicylic Acid, Sorbitan Sesquioleate, Tromethamine, Cetyl Ethylhexanoate, Bis-PEG-18 Methyl Ether Dimethyl Silane, Glyceryl Stearate, PEG-100 Stearate, Cyclopentasiloxane, Cyclohexasiloxane, Phenoxyethanol, Acrylates/Beheneth-25 Methacrylate Copolymer, Carbomer, Fragrance, Torreya Nucifera Extract, Hamamelis Virginiana Water, Melaleuca Alternifolia Extract, Chamomilla Recutita Extract, Lactobacillus/Soybean Ferment Extract, Salix Alba Bark Extract, Cinnamomum Zeylanicum Bark Extract, Origanum Vulgare Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Butylene Glycol, 1,2-Hexanediol, Propanediol, Caffeoyl SH-Octapeptide-4","INGREDIENTS/douus:nou: WATER. METHYLPROPANEDIOL TRIETHANOLAMINE, GLYCERIN, POLYSORBATE 60, DIMETHICONE NIACINAMIDE SALICYLIC ACID, SORBITAN SESQUIOLEATE, TROMETHAMINE, CETYL ETHYLHEXANOATE, BIS-PEG-18 METHYL ETHER DIMETHYL SILANE, GLYCERYL STEARATE, PEG-100 STEARATE, CYCLOPENTASILOXANE, CYCLOHEXASILOXANE PHENOXYETHANOL, ACRYLATES/BEHENETH-25 METHACRYLATE COPOLYMER, CARBOMER, FRAGRANCE PROPANEDIOL, CAFFEOYL SH-OCTAPEPTIDE-4 00034608","nou, WATER. METHYLPROPANEDIOL TRIETHANOLAMINE, GLYCERIN, POLYSORBATE 60, DIMETHICONE NIACINAMIDE, SALICYLIC ACID, SORBITAN SESQUIOLEATE, TROMETHAMINE, CETYL ETHYLHEXANOATE, BIS-PEG-18 METHYL, ETHER DIMETHYL SILANE, GLYCERYL STEARATE, PEG-20 STEARATE, CYCLOPENTASILOXANE, CYCLOHEXASILOXANE, PHENOXYETHANOL, ACRYLATES/BEHENETH-25 METHACRYLATE COPOLYMER, CARBOMER, FRAGRANCE, PROPANEDIOL, CAFFEOYL SH-OCTAPEPTIDE-4, 00034608",788,76,0.5305,0.6447,0.5076,0.6447,9.9241,
original,x100.jpg,labelx100.txt,ok,"Ethylhexyl Palmitate, Isopropyl Myristate, Butyl PEG-20 Glyceryl Triisostearate, Synthetic Wax, Glyceryl Behenate/Eicosadioate, Charcoal Powder, Butylene Glycol, Butyrospermum Parkii Butter, Polyglyceryl-2 Isostearate, Phenoxyethanol, Beeswax, Fragrance, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Chlorphenesin, Butylated Hydroxytoluene, Tocopheryl Acetate, Water, Glycerin, Allantoin, Epigallocatechin Gallate, Salicylic Acid, Oryza Sativa Bran Oil, Brassica Campestris Seed Oil, Ceramide NP, Dipropylene Glycol, Tocopherol, Hydrogenated Lecithin, Bambusa Vulgaris Leaf Extract, Camellia Japonica Seed Oil, Saccharomyces/Iron Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Glyceryl Stearate, Oryza Sativa Germ Oil, Phoenix Dactylifera Seed Extract, Camellia Sinensis Leaf Extract, Leuconostoc/Radish Root Ferment Filtrate, Alpinia Zerumbet Leaf Extract, Oryza Sativa (Rice) Bran Extract, Citrus Junos Seed Oil, Camellia Sinensis Seed Oil, Tartaric Acid, Sodium Metabisulfite, Helianthus Annuus Seed Oil, Ceramide AP, Ceramide AS, Ceramide NS, Cholesterol, Limnanthes Alba Seed Oil, Macadamia Ternifolia Seed Oil, Oenothera Biennis Oil, Persea Gratissima Oil, Rosa Canina Fruit Oil, Simmondsia Chinensis Seed Oil, Ceramide EOP","REDUCES PORE APPEARANCE *GU EPIDERMIS PALMITATE. ISOPROPYL MYRISTATE, PEG-20 GLYCERYL TRIISOSTEARATE, PARKII BUTTER, POLYGLYCERYL-2 ISOSTEARATE, PHENOXYETHANOL, FRAGRANCE, LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE. ACETATE, WATER, GLYCERIN, ALLANTOIN. EPIGALLOCATECHIN GALLATE, SALICYUC ACID, ORYZA SATIVA BRAN OIL BRASSICA CAMPESTRIS SEED OIL.  CERAMIDE NP, DIPROPYLENE GLYCOL, TOCOPHEROL, HYOROGENATED LECITHIN. BAMBUSA VULGARIS LEAF EXTRACT, CAMELLIA JAPONICA SEED OIL, CAMELLIA SINENSIS LEAF SACCHAROMYCES/MAGNESIUM FERMENT, SACCHAROMYCES/ZINC FERMENT GLYCERYL STEARATE, ORYZA DULCIS OIL, VITIS S VINIFERA SEED CAMELLIA FILTRATE. ALPINIA ZERUMBET LEAF OIL. L.CALOPHYLLUM PHYLLUM SEED OIL SINENSIS SEED S SEED DEPRESSA HELIANTHUS CERAMIDE AP, CERAMIDE AS, CERAMIDE ALBA SEED ANNUUS SEED OIL BUTYROSPERMUM OIL MACADAMIA TERNIFOLIA SEED OIL. DENOTHERA BIENS OIL PERSEA ROSA CANINA OIL SIMMONDSIA CHINENSIS SEED OIL CERAMIDE EOP","REDUCES PORE APPEARANCE, GU EPIDERMIS, PALMITATE, ISOPROPYL, MYRISTATE, PEG-240, GLYCERYL DIISOSTEARATE, PARKII BUTTER, POLYGLYCERYL-2, ISOSTEARATE, PHENOXYETHANOL, FRAGRANCE, LAURYL PEG-9, PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE, ACETATE, WATER, GLYCERIN, ALLANTOIN, EPIGALLOCATECHIN GALLATE, SALICYUC ACID, ORYZA SATIVA BRAN OIL, BRASSICA CAMPESTRIS SEED OIL, CERAMIDE NG, PROPYLENE GLYCOL, TOCOPHEROL, HYOROGENATED, LECITHIN, BAMBUSA VULGARIS, LEAF, EXTRACT, CAMELLIA JAPONICA SEED OIL, OIL, CAMELLIA SINENSIS LEAF OIL, SACCHAROMYCES/MAGNESIUM, FERMENT, SACCHAROMYCES/ZINC FERMENT, GLYCERYL STEARATE, ORYZA, DULCIS OIL, VITIS, S VINIFERA SEED, CAMELLIA, FILTRATE, ALPINIA ZERUMBET LEAF OIL, L.CALOPHYLLUM, PHYLLUM, SEED OIL, SINENSIS, SEED, S SEED, DEPRESSA, HELIANTHUS, CERAMIDE AP, CERAMIDE AS, CERAMIDE, ALBA SEED, ANNUUS, SEED, OIL, BUTYROSPERMUM, OIL, MACADAMIA, TERNIFOLIA SEED OIL, DENOTHERA, BIENS, OIL, PERSEA, ROSA, CANINA, OIL, SIMMONDSIA CHINENSIS SEED OIL, CERAMIDE, EOP",1285,145,0.4062,0.5586,0.4086,0.5862,30.8656,
original,x101.jpg,labelx101.txt,ok,"Water, Propylene Glycol, Butylene Glycol, Hydroxyphenoxy Propionic Acid, Tranexamic Acid, Saxifraga Sarmentosa Extract, Phenoxyethanol, Sodium Ascorbyl Phosphate, Glycerin, Vitis Vinifera (Grape) Fruit Extract, Chlorphenesin, Morus Bombycis Root Extract, Disodium EDTA, Sodium Hyaluronate, Scutellaria Baicalensis Root Extract, Tartaric Acid, Sodium Metabisulfite, Sodium Sulfite, Psidium Guajava Fruit Extract, Carica Papaya Fruit Extract","OuUs:nou/Ingredients: WATER, PROPYLENE GLYCOL, BUTYLENE GLYCOL HYDROXYPHENOXY PROPIONIC ACID, TRANEXAMIC ACID. SAXIFRAGA SARMENTOSA EXTRACT, PHENOXYETHANOL SODIUM ASCORBYL PHOSPHATE GLYCERIN, VITIS VINIFERA (GRAPE) FRUIT EXTRACT. CHLORPHENESIN, MORUS BOMBYCIS ROOT EXTRACT, DISODIUM EDTA. SODIUM HYALURONATE. SCUTELLARIA BAICALENSIS ROOT EXTRACT, TARTARIC ACID. SODIUM METABISULFITE. FRUIT EXTRACT","OuUs, nou/Ingredients, WATER, PROPYLENE GLYCOL, BUTYLENE GLYCOL, HYDROXYPHENOXY PROPIONIC ACID, TRANEXAMIC ACID. SAXIFRAGA, SARMENTOSA EXTRACT, PHENOXYETHANOL SODIUM ASCORBYL PHOSPHATE, GLYCERIN, VITIS VINIFERA (GRAPE) FRUIT EXTRACT. CHLORPHENESIN, MORUS, BOMBYCIS ROOT EXTRACT, DISODIUM EDTA. SODIUM HYALURONATE. SCUTELLARIA, BAICALENSIS ROOT EXTRACT, TARTARIC ACID. SODIUM METABISULFITE, FRUIT EXTRACT",439,50,0.2096,0.36,0.2118,0.38,8.2136,
original,x102.jpg,labelx102.txt,ok,"Water, Niacinamide, Butylene Glycol, Ethoxydiglycol, Arginine, Allantoin, Aloe Barbadensis Leaf Juice Powder, Ascorbyl Glucoside, Glycolic Acid, Sodium Hyaluronate, Saxifraga Sarmentosa Extract, Phellodendron Amurense Bark Extract, Salix Alba (Willow) Bark Extract, Ramnemia Chinensis Root Extract, Melia Azadirachta Leaf Extract, Scutellaria Baicalensis Root Extract, Houttuynia Cordata Extract, Glycine Soja (Soybean) Seed Extract, Arisaema Amurense Extract, Decyl Glucoside, Camellia Japonica Flower Extract, Magnolia Kobus Branch/Flower Extract, Nelumbo Nucifera Flower Extract, Aureobasidium Pullulans Ferment, Saccharomyces Ferment, Centella Asiatica Extract, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Chlorphenesin, Sodium Polyacrylate, Ethylhexylglycerin, Glyceryl Caprylate, Palmitoyl Tripeptide-1, PEG-60 Hydrogenated Castor Oil, Sodium Hydroxide, Sorbitan Laurate, Trideceth-6, Tri-PG-3 Myristyl Ether Citrate, O-Cymen-5-Ol, 1,2-Hexanediol, Xanthan Gum","WmdAA La PA GGA H, Fiat,Pelded Amee BarkEaSal A (Wi)BarkEa,Reaes REMl Az LEx,er BaeRE C , a (eE,Aa A ,D Camea e E, K BhHe/a  Extract, Aureobasidum Pullulans Ferment, Saccharomyces Ferme,Centela Asiaa Ex Phenah, Actes/C10-30 Alky Acrate Copyme, phea, Sdum P Myristyl Ether Citrate, O-Cymen-5-Ol, 1,2-Hexanedl,Ethyl Hexanediol","WmdAA, La PA GGA H, Fiat, Pelded Amee BarkEaSal A (Wi)BarkEa, Reaes, REMl Az LEx, er BaeRE, C, a (eE, Aa A, D, Camea e E, K BhHe/a, Extract, Aureobasidum Pullulans Ferment, Saccharomyces Ferme, Centela Asiaa Ex, Phenah, Actes/C10-30 Alky Acrate Copyme, phea, Sdum P, Myristyl Ether Citrate, O-Cymen-5-Ol, 1,2-Hexanedl, Ethyl Hexanediol",983,105,0.6928,0.9238,0.6836,0.9238,10.5879,
original,x103.jpg,labelx103.txt,ok,"Water, C12-15 Alkyl Benzoate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Salicylate, Propanediol, Dimethicone, Ethylhexyl Triazone, Silica, Titanium Dioxide, Polyglyceryl-4 Laurate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Butyloctyl Salicylate, 1,2-Hexanediol, Phenoxyethanol, Lecithin, Polyglyceryl-6 Laurate, Glycerin, Talc, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Diutan Gum, Niacinamide, Allantoin, Hydroxyacetophenone, Sodium Hydroxide, Ethylhexylglycerin, Cyclopentasiloxane, Zinc PCA, Butylene Glycol, Capsicum Annuum Fruit Extract, Caprylhydroxamic Acid, Hydrolyzed Corn Starch Octenylsuccinate, Sodium Lauroyl Lactylate, Biosaccharide Gum-4, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Isostearyl Isostearate, Xanthan Gum, Carbomer, Sodium Benzoate, Citric Acid, Green Tea Extract, Sodium Salicylate, Astaxanthin, Oryza Sativa Hull Extract, Butyrospermum Parkii (Shea Butter), Tocopherol, Ceramide EOP","R/:a-AB,Dm HB,Pd De,ha,DPyaa,BEha,B -,A]","R/, a-AB, Dm HB, Pd, De, ha, DPyaa, BEha, B, A]",949,95,0.9621,1.0,0.9526,1.0,6.1185,
original,x104.jpg,labelx104.txt,ok,"Aqua, Propanediol, C15-19 Alkane, Cetyl Alcohol, Isononyl Isononanoate, Polyglyceryl-10 Dipalmitate, Avena Sativa Kernel Extract, Dipotassium Glycyrrhizate, Niacinamide, Polyglyceryl-4 Distearate, Squalane, Phenoxyethanol, Polyacrylate Crosspolymer-6, Xylitylglucoside, Glyceryl Acrylate/Acrylic Acid Copolymer, PEG-100 Stearate, Persea Gratissima Oil, Ethylhexylglycerin, Aloe Barbadensis Leaf Extract, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate, Xylitol, Fragrance, Tocopherol, Arginine, Propylene Glycol, 1,2-Hexanediol, Disodium EDTA, Butylene Glycol, Carrageenan, Sodium Hyaluronate, Sodium Lauroyl Glutamate, Cetearyl Alcohol, Ceramide NP, Hydrogenated Lecithin, Xanthan Gum, CI 19140, Benzyl Alcohol, Ceramide AP, Phytosphingosine, CI 42090, Cetearyl Glucoside, Helichrysum Stoechas Callus Culture Lysate, Citric Acid, Sodium Citrate, Sodium Benzoate, Ceramide EOS, Sodium Hyaluronate Crosspolymer, Benzoic Acid, Ginseng Gum, Potassium Sorbate, Sorbic Acid, Coumarin, Glycyrrhetinic Acid","U Agua, Propanedl, C1519 Alane, Cety Acol, sony! sononanate, Polyycery-10 Dipalimitate, Avena Satia Kemel Eract, Dipotasium Gycymhdate, Nachamide, Pobylycey- Diseaae, Squalane Phenayethano, Polyacylate Crosspolymer-, Xyltyplucoside, Glycery Monoeaae, PEG-100 Stesae, Pesea Grasima Oi, Anhydryl, Mars Sachade somenat, Gucse, Dsodum EDtA, Butylane Gycol, T-uty Alool. Leanediol, Centela Asaca Laa Edrac, Hygea Polydeene, Penea Gratsima Fruit Eract, Gycery Stearae, C 19140, 1,2-Dlhdrypentane, Ceeary Alcohl, Ceamide NP, Hydoenad Lectin, Choles, Sar Acid, Benzyl Alcohol, Ceramide AP, Phytosphingosine, Cl 42090, Callus Culture Lysate, Ctric Acid, Sodlum Ctrate, Sodium Benzoate, Tetraacyphytosphingosine, C 1470, Xanthan Gum, Hechysum Stechas Dehydroacaik Add, Sodum Hluronate Croaplyme, Benk Ad, Aada Senegal Gum Pobaum Sorate, Soic Adid, Cemamide EP, Gcosphlpi","U Agua, Propanedl, C1519 Alane, Cety Acol, sony!, sononanate, Polyycery-10 Dipalimitate, Avena Satia Kemel Eract, Dipotasium Gycymhdate, Nachamide, Pobylycey- Diseaae, Squalane, Phenayethano, Polyacylate Crosspolymer, Xyltyplucoside, Glycery, Monoeaae, PEG-100 Stesae, Pesea Grasima Oi, Anhydryl, Mars, Sachade somenat, Gucse, Dsodum EDtA, Butylane Gycol, T-uty Alool, Leanediol, Centela Asaca Laa Edrac, Hygea Polydeene, Penea, Gratsima Fruit Eract, Gycery Stearae, C 19140, 1,2-Dlhdrypentane, Ceeary Alcohl, Ceramide NP, Hydoenad Lectin, Choles, Sar, Acid, Benzyl Alcohol, Ceramide AP, Phytosphingosine, Cl 42090, Callus Culture Lysate, Citric Acid, Sodlum Ctrate, Sodium Benzoate, Tetraacyphytosphingosine, C 1470, Xanthan Gum, Hechysum Stechas, Dehydroacaik Add, Sodum Hluronate Croaplyme, Benk Ad, Aada, Senegal Gum Pobaum Sorate, Soic Adid, Cemamide EP, Gcosphlpi",997,105,0.4784,0.9524,0.4764,0.9238,12.141,
original,x105.jpg,labelx105.txt,ok,"Water, Butylene Glycol, Glycerin, Dimethicone, PEG-240/HDI Copolymer Bis-Decyltetradeceth-20 Ether, Silica, Phenoxyethanol, Avena Sativa (Oat) Kernel Extract, Bisabolol, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Chlorphenesin, Potassium Hydroxide, Disodium EDTA, Betaine, Punica Granatum (Pomegranate) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Centella Asiatica Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Aloe Barbadensis Leaf Juice, Fragrance, Maltodextrin, Ethylhexylglycerin, Morus Alba Bark Extract, Cucumis Sativus (Cucumber) Seed Extract, Sodium Benzoate, Potassium Sorbate, Tocopherol","aouwau/Ingredients: WATER, BUTYLENE GLYCOL, GLYCERIN, DIMETHICONE, PEG-240/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER, SILICA, PHENOXYETHANOL, AVENA SATIVA (OAT) KERNEL EXTRACT, BISABOLOLXANTHAN GUM ACRYLATES/C 10-30 ALKYL ACRYLATE CROSSPOLYMER, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE, CHLORPHENESIN, POTASSIUM HYDROXIDE, DISODIUM EDTA, BETAINE, PUNICA GRANATUM (POMEGRANATE) SEED OIL, VITIS VINIFERA (GRAPE) SEED OIL, CENTELLA ASIATICA EXTRACT, H IBISCUS SABDARIFFA FLOWER EXTRACT SODIUM HYALURONATE,ALOE BARBADENSIS LEAF JUICE, FRAGRANCE, MALTODEXTRIN, ETHYLHEXYLGLYCERIN, MORUS ALBA BARK EXTRACT, CUCUMIS SATIVUS (CUCUMBER)SEED EXTRACT, SODIUM BENZOATE, POTASSIUM LAURATE, TOCOPHEROL, POTASSIUM SORBATE","WATER, BUTYLENE GLYCOL, GLYCERIN, DIMETHICONE, PEG-240/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER, ETHER, SILICA, PHENOXYETHANOL, AVENA SATIVA (OAT) KERNEL, EXTRACT, BISABOLOLXANTHAN GUM, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE, CHLORPHENESIN, POTASSIUM HYDROXIDE, DISODIUM EDTA, BETAINE, PUNICA GRANATUM (POMEGRANATE) SEED, OIL, VITIS VINIFERA (GRAPE) SEED OIL, CENTELLA ASIATICA ROOT EXTRACT, H IBISCUS SABDARIFFA FLOWER EXTRACT, SODIUM HYALURONATE, ALOE BARBADENSIS LEAF JUICE, FRAGRANCE, MALTODEXTRIN, ETHYLHEXYLGLYCERIN, MORUS ALBA BARK EXTRACT, CUCUMIS SATIVUS (CUCUMBER)SEED EXTRACT, SODIUM BENZOATE, POTASSIUM, LAURATE, TOCOPHEROL, POTASSIUM SOYATE",675,72,0.0756,0.2222,0.0607,0.2083,15.0773,
original,x106.jpg,labelx106.txt,ok,"Aqua (Water), Dipropylene Glycol, Butylene Glycol, Propanediol, Phenoxyethanol, Chlorphenesin, Panthenol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glycerin, Allantoin, Sodium Hydroxide, Disodium EDTA, Sodium Hyaluronate, Ectoin, Acacia Senegal Gum, Pentylene Glycol, Castanea Sativa (Chestnut) Leaf Extract, 1,2-Hexanediol, Centella Asiatica Leaf Extract, Algin, Caprylyl Glycol, Glyceryl Polyacrylate, Pullulan, Aphanothece Sacrum Polysaccharide, Ethylhexylglycerin, Centella Asiatica Leaf Vesicles","abuus:nou/ing • ansuna  uoanosoá ents:Aqua (Water), Dipropylene Glycol, Butylene Glycol Senegal Gum, Disodium EDTA, Sodium Hyaluronate, Ectoin, Acacia Pentylene Glycol, Castanea Sativa (Chestnu Leaf Extract, Centel Asiaca Leaf Extrac,Algin,Caprylyl GlycGlyce Aphanothece Sacrum Polysaccharides, Ethylhexyl-","abuus, nou/ing, • ansuna  uoanosoá, ents, Aqua (Water), Dipropylene Glycol, Butylene Glycol, Senegal Gum, Disodium, EDTA, Sodium Hyaluronate, Ectoin, Acacia, Pentylene Glycol, Castanea Sativa (Chestnu Leaf Extract, Centella Asiatica Leaf Extract, Algin, Caprylyl GlycGlyce, Aphanothece Sacrum Polysaccharides, Ethylhexyl",504,52,0.5119,0.7115,0.4841,0.6538,7.6976,
original,x107.jpg,labelx107.txt,ok,"Aqua, Butylene Glycol, Niacinamide, Sodium Acrylates Crosspolymer-2, Fomes Officinalis Extract, Sodium Acrylate/Acryloyldimethyl Taurate Copolymer, Phenoxyethanol, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex Extract, Laminaria Japonica Extract, Maltodextrin, Glycerin, Ammonium Glycyrrhizate, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquaternium-51, Kaempferia Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprylyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic Acid, Glutathione, Hydrogenated Lecithin, CI 42090, Cyclodextrin, CI 19140, Ascorbyl Palmitate, Sh-Oligopeptide-1",":Aqua, Butylene glycol, Niacinamide, Hamamelis Virginiana Leaf Water, Fomes Officinalis Extract, Sodium Acrylates Crosspolymer-2, Phenoxyethanol, Sodium Acrylate/Acryloyldimethyl Taurate Copolymer, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex E,LamiaaJa Ea,Mae,e,Ammum Gae Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia, Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquatemium-51, Kaempferia Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprytyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic Acid, Glutathione, Hydrogenated Lecithin, 42090, Cyexrin,  19140, Ascorbyl Palmitate, Sh-Oligopeptide-1","Aqua, Butylene glycol, Niacinamide, Hamamelis Virginiana, Leaf Water, Fomes Officinalis Extract, Sodium Acrylates Copolymer, Phenoxyethanol, Sodium Acrylate/Acryloyldimethyl Taurate Copolymer, Dimethicone, Chlorphenesin, Aesculus Hippocastanum Seed Extract, Faex, E, LamiaaJa Ea, Mae, e, Ammum Gae, Disodium EDTA, Aloe Barbadensis Leaf Juice, Enantia, Chlorantha Bark Extract, Pentylene Glycol, Xanthan Gum, Trideceth-6, Panthenol, Propylene Glycol, Zinc Gluconate, PEG/PPG-18/18 Dimethicone, Polyquatemium-51, Kaempferia, Parviflora Rhizome Extract, Caffeine, Biosaccharide Gum-1, Lecithin, 1,2-Hexanediol, Zostera Marina Extract, Citric Acid, Caprylyl Glycol, Arbutin, Menthol, Potassium Sorbate, Sodium Benzoate, Biotin, Linseed Acid, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Sodium Oleate, Oleanolic, Acid, Glutathione, Hydrogenated Lecithin, 42090, Cyexrin,  19140, Ascorbyl Palmitate, Sh-Oligopeptide-1",943,99,0.1739,0.2525,0.1654,0.2525,16.0823,
